"신혼부부 특성별(1)",신혼부부 특성별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020
"신혼부부 특성별(1)",신혼부부 특성별(2),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),소득 평균 (만원),소득 중앙값 (만원)
"신혼부부 특성별(1)",신혼부부 특성별(2),합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000만원 이상,소계,소계
"전국",소계,100.0,8.6,14.1,22.5,22.3,18.7,13.8,6157,5376
"혼인연차별",혼인 1년차,100.0,6.4,13.1,21.6,24.2,23.1,11.6,6175,5724
"혼인연차별",혼인 2년차,100.0,9.1,15.6,23.2,23.0,17.9,11.1,5773,5149
"혼인연차별",혼인 3년차,100.0,8.6,14.7,24.8,22.6,17.8,11.5,5859,5154
"혼인연차별",혼인 4년차,100.0,9.0,15.2,23.9,21.2,17.8,13.0,5983,5156
"혼인연차별",혼인 5년차,100.0,8.8,13.6,22.8,22.8,17.6,14.4,6151,5357
"혼인연차별",혼인 6년차,100.0,8.9,14.0,21.0,21.1,18.4,16.7,6446,5527
"혼인연차별",혼인 7년차,100.0,9.0,13.1,20.9,21.3,19.0,16.7,6596,5578
"맞벌이여부별",맞벌이,100.0,2.2,7.2,16.4,23.9,27.4,22.9,7940,7022
"맞벌이여부별",외벌이,100.0,9.4,20.2,31.8,23.0,10.9,4.7,4712,4294
"맞벌이여부별",기타,100.0,62.4,30.4,5.2,1.3,0.3,0.4,1032,495
"출산자녀유무별",무자녀,100.0,7.9,13.1,21.1,22.6,20.9,14.4,6278,5672
"출산자녀유무별",유자녀,100.0,8.9,14.7,23.3,22.0,17.5,13.4,6092,5241
"주택소유여부별",주택 미소유,100.0,10.5,16.4,24.2,21.9,16.6,10.4,5517,4909
"주택소유여부별",주택 소유,100.0,6.4,11.6,20.7,22.7,21.1,17.5,6868,5926
