"신혼부부 특성별(1)",신혼부부 특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022
"신혼부부 특성별(1)",신혼부부 특성별(2),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),소득 평균 (만원),소득 중앙값 (만원)
"신혼부부 특성별(1)",신혼부부 특성별(2),합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000만원 이상,소계,소계
"전국",소계,100.0,7.2,11.6,19.3,21.6,21.0,19.3,7000,6039
"혼인연차별",혼인 1년차,100.0,6.2,10.5,18.9,22.6,23.0,18.8,6950,6244
"혼인연차별",혼인 2년차,100.0,6.5,12.1,19.9,21.6,22.9,17.0,6668,5986
"혼인연차별",혼인 3년차,100.0,7.4,11.6,21.1,22.1,21.0,16.9,6717,5853
"혼인연차별",혼인 4년차,100.0,7.5,12.2,21.0,21.5,20.3,17.5,6677,5830
"혼인연차별",혼인 5년차,100.0,7.5,11.5,19.7,22.1,19.9,19.3,6931,5970
"혼인연차별",혼인 6년차,100.0,7.8,11.8,17.9,20.5,20.8,21.3,7259,6122
"혼인연차별",혼인 7년차,100.0,7.5,11.4,17.2,21.2,19.8,23.0,7612,6248
"맞벌이여부별",맞벌이,100.0,2.1,5.8,13.9,21.4,27.4,29.4,8753,7637
"맞벌이여부별",외벌이,100.0,8.6,18.0,28.1,24.2,14.0,7.2,5167,4726
"맞벌이여부별",기타,100.0,59.8,28.0,9.1,1.3,1.1,0.6,1259,625
"출산자녀유무별",무자녀,100.0,6.6,10.9,17.5,20.9,23.8,20.3,7141,6398
"출산자녀유무별",유자녀,100.0,7.6,12.0,20.3,22.0,19.3,18.7,6918,5841
"주택소유여부별",주택 미소유,100.0,8.2,13.3,21.5,22.3,19.7,14.9,6328,5549
"주택소유여부별",주택 소유,100.0,6.1,9.5,16.8,20.8,22.4,24.4,7792,6670
