"신혼부부 특성별(1)",신혼부부 특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021
"신혼부부 특성별(1)",신혼부부 특성별(2),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),신혼부부 소득구간별 (%),소득 평균 (만원),소득 중앙값 (만원)
"신혼부부 특성별(1)",신혼부부 특성별(2),합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000만원 이상,소계,소계
"전국",소계,100.0,7.8,12.9,21.1,22.0,19.7,16.5,6617,5716
"혼인연차별",혼인 1년차,100.0,6.4,11.1,20.5,23.2,24.1,14.9,6582,6036
"혼인연차별",혼인 2년차,100.0,7.6,12.9,21.5,22.5,21.4,14.1,6304,5717
"혼인연차별",혼인 3년차,100.0,7.9,13.7,23.2,22.0,19.2,14.0,6122,5407
"혼인연차별",혼인 4년차,100.0,8.3,13.5,22.4,22.4,18.9,14.7,6515,5491
"혼인연차별",혼인 5년차,100.0,8.2,12.6,22.3,22.3,18.3,16.2,6487,5544
"혼인연차별",혼인 6년차,100.0,8.4,13.0,19.7,21.8,18.4,18.6,6957,5781
"혼인연차별",혼인 7년차,100.0,7.8,13.1,18.3,20.3,18.9,21.6,7185,6004
"맞벌이여부별",맞벌이,100.0,2.0,6.6,15.1,22.8,27.4,26.1,8380,7316
"맞벌이여부별",외벌이,100.0,9.0,19.3,30.4,23.4,11.9,6.0,4978,4468
"맞벌이여부별",기타,100.0,62.7,27.4,7.3,1.6,0.3,0.8,1142,489
"출산자녀유무별",무자녀,100.0,6.9,11.3,19.6,21.9,22.7,17.6,6832,6104
"출산자녀유무별",유자녀,100.0,8.4,13.8,21.9,22.0,18.0,15.9,6496,5494
"주택소유여부별",주택 미소유,100.0,9.6,15.0,23.2,22.0,18.0,12.2,5852,5184
"주택소유여부별",주택 소유,100.0,5.9,10.5,18.7,22.0,21.5,21.4,7468,6317
