Review
리뷰 더보기 접기 평점 5  . 신고 주거형태10평 미만싱글 날씨가 정말 추웠는데도 기사님들이 아주 꼼꼼히 설치해주셨어요 배관도 아주 깔끔하게 마무리 해주셨고 사용 설명도 친절하게 설명해주셨어요 테스트 해봤는데 조용합니다. 사진 비디오 수 2 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 한달사용아직겨울이라사용전이지만 정확한 설치날자와깔끔한설치가 좋았습니다 이미지 펼쳐보기 0
이 구매자의 처음 리뷰보기
리뷰 더보기 접기 평점 5  . 신고 한달사용아직 틀지는못했지만 브랜드믿고 만족하고있어요.설치비도 비싼데 가격대비 완전조아요 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 주거형태10평 미만신혼 부부 빠르고 친절한 설치와 스마트한 디자인과 기능 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 4  . 신고 평수 선택 8평 주거형태10평 미만 올 여름은 시원하게 일하겠네요 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 주거형태10평 미만싱글 설치 및 에어컨은 완벽합니다 다만 부주의로 냉난방기를 산다는게 에어컨으로 샀어요 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 주거형태10평 미만싱글 사용설치환경 감안해서 잘 설치해주셨습니다.내년 여름은 걱정 없을거 같습니다 사진 비디오 수 4 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 여름에 시원하길기대합니다 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5  . 신고 주거형태10평대싱글 배송이 긴편이나 설치기사님이 친절하십니다 ! 이미지 펼쳐보기 0
평점 5  . 신고 주거형태10평 미만싱글 한달사용설치도 잘됐고 냉방능력도 좋네요 0
리뷰 더보기 접기 평점 5  . 신고 설치도빠르고 친절하게설명잘해주시네요 가격대비 좋았어요.설치비만 띠로 비싸던데 설치포함되서 이가격이면 만족합니다 이미지 펼쳐보기 0
평점 5 8  . 신고 설치기사님 친절히 잘 주시고 갔어요 0
리뷰 더보기 접기 평점 5  . 신고 빠른배송 깔끔한설치 이미지 펼쳐보기 0
리뷰 더보기 접기 평점 5 1  . 신고 아직 사용전 가성비구매 했습니다 이미지 펼쳐보기 0
평점 4 2  . 신고 캐리어는아닌데배송설치넘좋네요 0
판매자  . 신고 안녕하세요 고객님. 캐리어 공식 대리점 주 명경전자 입니다. 구매하신 제품은 캐리어 정품 8평형 에어컨이 맞습니다. 감사합니다.
평점 5  . 신고 하루류카훙당슈가신궁 0
"리뷰 더보기 접기 평점 5  . 신고 벽걸이 에어컨 평형선택 벽걸이 인버터 에어컨 6평형 주거형태20평대신혼 부부 시골집에 설치하였습니다. 비수기에 미리 설치했는데 비수기라 설치까지 얼마 안걸렸어요 판매자, 설치기사님 다 너무 친절하게 잘해주셨습니다. 이미지 펼쳐보기 0"
판매자  . 신고 고객님 안녕하세요 에어컨민족 입니다. 소중한 포토 리뷰 너무 감사드리며 친절하게 설치 잘 받으셨다니 다행입니다. 올여름엔 시원하게 보내세요 궁금하신 점은 언제든지 고객센터로 연락주세요 구매 감사합니다. 더보기
리뷰 더보기 접기 평점 5  . 신고 벽걸이 에어컨 평형선택 벽걸이 인버터 에어컨 6평형 한달사용빠른 배송 좋은 제품 잘 쓰고 있어요 이미지 펼쳐보기 0
판매자  . 신고 고객님 안녕하세요 에어컨민족 입니다. 소중한 한달사용 포토 리뷰 너무 감사드리며 이상없이 잘 사용중이신거 같아서 다행입니다. 시원하게 보내시길 바라며 궁금하신 점은 언제든지 고객센터로 연락주세요 구매 감사합니다.
리뷰 더보기 접기 평점 5  . 신고 벽걸이 에어컨 평형선택 벽걸이 인버터 에어컨 6평형 거실에 설치했는데 성능 좋고 아주 만족스러워요 역시 가전은 엘지 이미지 펼쳐보기 0
